unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
132816,0.0,0.0,0.0,NorthWest,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
132819,0.0,0.0,0.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
133058,0.0,0.0,234502.0,NorthWest,3 - Híbrida entre 2 e 4,3 - Híbrida entre 2 e 4
133070,0.0,0.0,116920.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
133088,0.0,0.0,173250.0,North,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
133163,0.0,0.0,59250.0,North,"1 - Empareda para área de serviço (ou prédio muito feio, mal conservado)",""
133201,0.0,0.0,0.0,"","",""
133211,0.0,0.0,0.0,"","",""
133224,0.0,0.0,0.0,"","",""
133226,0.0,0.0,0.0,East,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
133281,1415000.0,900280.0,225628.0,"","",""
133282,1225000.0,744749.0,228016.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
133283,1380000.0,870117.0,225628.0,"","",""
133284,1430000.0,934073.0,225628.0,"","",""
133308,0.0,0.0,0.0,"",3 - Híbrida entre 2 e 4,"5 - Grande respiro, com verde ou copa de árvores"
133315,0.0,0.0,0.0,"","6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
133320,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores",""
133331,0.0,0.0,83740.0,SouthEast,"2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente","2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente"
133339,0.0,0.0,83740.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
133415,0.0,0.0,0.0,NorthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
133500,0.0,0.0,0.0,"","",""
